S/NO,NAME OF COMPANY,ADDRESS,ZONE,STATE
100,Dallas Global Services Ltd,"GRA Behind Skye bank, Malumfashi, Katsina",NORTH WEST,KATSINA
101,Damuyadi Enterprise Nig. Ltd,"C/O BSADEP, BAUCHI..",North East,Bauchi
102,Dan Gagga Global Limited,26 danja road funtua katsina,NORTHWEST,KATSINA
103,Daphman Company ltd,"No. 10, George otoh street, Asaba, Delta State",SOUTH SOUTH,DELTA
104,Daula Farms,Gidan Batura Tsamiya Bagudo LGA Kebbi,NORTH WEST,KEBBI
105,DDES Royal Agro company Ltd,"Army vacated area, Near Golf club Rayfield, Jos",NORTH CENTRAL,PLATEAU
106,Debiro Agro Chemicals &  Farms LTD.,"88 – 89, GOMBE ROAD,BIU, BORNO STATE",North East,Borno
107,Dekoji Tan Nigeria Limited,"Block A5, Plateau Court, Gaduwa Estate, FCT",NORTH CENTRAL,FCT
108,Demmaco Optimum Services Ltd.,"260, AMECHI RD, AWKA, ENUGU",South East,Enugu
109,Dia Concepts Seeds Limited,"No 11, Behinde NESCO, Bukuru, Plateau State.",NORTH CENTRAL,PLATEAU
110,Difag Multi – Inputs Ltd,"NO 32, SALVAGE CRESENT GRA ENUGU.",South East,Enugu
111,Dogo Abare Seeds.,"C/O LCRI MAIDUGURI, BORNO STATE",North East,Borno
112,Dupont Pioneer Seeds,"Plot 108, Opebi Road, Ikeja, Lagos",SOUTH WEST,LAGOS
113,Dupont Pioneer Seeds LTD.,"PLOT 108,OPEBI,ROAD,IKEJA, Lagos",South West,Lagos
114,E99 OASIS INTEGRATED SERVICES LTD.,"EDE-AWO ROAD, BYE PREMIER COLLEGE, Osun State",South West,Osun
,,"ABOTO, AWO.",,
,,OSUNNSTATE,,
115,Efab Block Food Limited,"No. 6, Osumenyi River Close, Off Lake Chad, Cresent, Maitama, FCT",NORTH CENTRAL,FCT
116,Ella Agro Company,"1,IBADAN ROAD,SABON GARI,KANO.",North West,Kano
117,Emroyal  Ventures Ltd," 1, AFILAKA AVENUE,IFAKO,AGEGE.",South West,Oyo
118,Enugu State Graduate Farmers,"Adarice Farm Settlement, Adani Uzo Uwani LGA, Enugu State",SOUTH EAST,ENUGU
119,Epiclean and Chemicals Nig Ltd,"Umolum Town, Ayamelum LGA, Anambra State",SOUTH EAST,ANAMBRA
120,Esmot Nigeria Ltd.,"No3, Muazu Street, off Kachia Road, Sabon Tasha, Kaduna State",NORTHWEST,KADUNA
121,Evergreen International Ltd,"NO 2 OYO STREET GARKI AREA 2,FCT.",North Central,Kogi
122,FAIQAT INTEGRATED FARMS LTD,"No TP 1, SAMAWA RD T/WADA, GUSAU, Zamafar.",NORTH WEST,ZAMFARA
123,Fair Share Investment Nig Ltd,"38, Border Road, 4 Corners, Ikom. Cross-river",SOUTH SOUTH,CROSS-RIVER STATE
124,Farm link Agro Allied & Seeds Company Limited,"42 Jaoji by Zaria Road, Kano State.",NORTH WEST,KANO STATE.
125,Farm Products & Allied Integrated Concepts Ltd,"No 3, Federal Low cost,Tudun Wada, Gusau, Zamfara",NORTH WEST,ZAMFARA
126,Feedall Integrated Services LTD.,"NO 4, OLUADE WAY, OKE ATA LAGOS",South West,Lagos
127,FELDAN INTEGRATED SERVICE LTD.,"No 1 Badeggi-Bida Road, Bida, Niger State",NORTH CENTRAL,NIGER
128,First Let Farm,"37 HOSPITAL RD,24 OLUWATOYIN  QUARTERS.AKURE,",South West,Ondo
129,Fountain Agric Marketing Agency,EKITI STATE ADP,South West,Ekiti
130,Fulaghambi Seeds Ltd.,"No. 25 Sokoto road, Funtua, Kastina",NORTHWEST,KATSINA
131,Galawaki Seeds LTD.,"5, MALLAM MADORI RD,HADEJIA, Kano",North West,Kano
132,GAMS Agro-Chemicals,"14/15 kawu plaza, Lagos Street, Maiduguri",NORTH EAST,BORNO
133,Girmal Agric. Company Services Limited.,"Yola, Adamawa",North East,Adamawa
134,Global Infinity Grace Farms (NIG) Ltd,"No 1 Ndiechi Onuebonyi Igbeagu, Izzi LGA, Ebonyi State",SOUTH EAST,EBONYI
135,Go-ahead Farm Ltd.,"No2, woji road, GRA, Phase II, Port-harcourt, River state",SOUTH SOUTH,RIVERS
136,Goke Alade Farms Ltd.,"IRAWO VIA SAKI,P.O.BOX 6945,AGODI POST OFFICE ,IBADAN.",South West,Oyo
137,Gromor Seeds Ltd,"Km 15, Sokoto Road, Funtua, Katsina State",NORTH WEST,KATSINA
138,Grossvenor Nig. Ltd.,"ODEGIWA VIA, ILORIN, KWARA STATE.",North Central,Kwara
139,Guarantee Farm Seed Ltd,"No. 2330, Hadejia Road, Kano",NORTHWEST,KANO
140,Hamama  Farms Ltd,"KUDIRAT ABIOLA WAY, OREGUN LAGOS.",South West,Lagos
141,Hamdana Farms Ltd.,"No. 43, Premier Road, Tuduwada Gusau, Zamfara State",NORTHWEST,ZAMFARA
142,Hampden Resources WA Ltd,"1st Floor, UAC Building, Central Business District, FCT",NORTH  CENTRAL,FCT
143,Happy Seeds & Agro Allied Company LTD..,"5, GREEN AND WHITE SHOPPING COMPLEX, ZOO ROAD, KANO.",North West,Kano
144,Harvest Field Industries Ltd.,"No1, Isheri Road, Olowora Junction B/stop, Beside sweet sensation, Omole, Phase II, Ikeja, Lagos State",SOUTH WEST,LAGOS
145,IAD Nig ltd,"36, Numan Road Airforce gate Damilu Jimeta, Adamawa.",NORTH EAST,ADAMAWA
146,Ideal Agro Ventures Nig. Ltd.,"OPPOSITE FEDERAL POLYTHECNIC BIDA,NIGER STATE.",North Central,Niger
147,IITA GOSEED,IITA headquarters Ibadan,SOUTH WEST,OYO
148,Inganchi seed limited – Katsina,"Plot A5/24 Kofar Kaura Layout, Katsina, Katsina State",North West,Kastina
149,Inspire Agric genetics Ltd,"2, Dan Amarya plaza, maiduguri road, kano",NORTH EAST,
150,Intra West Limited,"N0. 3 Blanlyre Street, Wuse II, FCT",NORTH CENTRAL,FCT
151,Isehunwa Integrated Farms Services Ltd,"NO 17,IGAH QUARTER, IJUMU L. G.A., KOGI STATE.",North Central,Kogi
152,ISWA Integrated Synergy Ltd.,"31, SARKIN KAFI ROAD, DUTSE JIGAWA STATE.",North West,Jigawa
153,Itopaoiza  Farms Nig. Ltd.,"WUSHISHI IRRIGATION, WUSHISHI, L. G.A .NIGER STATE.",North Central,Niger
154,Iyadalim Global Ventures,"PLOT NO 3,MANDO RD,KADUNA.",North West,Kaduna
