Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2773.943145,2556.002387,1549.083615,1480.513834,1632.34437,1818.286383,1990.582923,2115.617044,2313.617793,2439.912753,2658.344322,2995.908846,3463.986063,4043.655062,4614.869804,5455.434995,6411.81964,7551.643636,8300.491988,7233.039928,7506.321909,8025.458485,9364.375299,9835.802461,10036.88984,9969.664854,10704.22976,12115.13929,13020.39632,14231.18019,13284.16083
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11594.17069,12086.72058,12292.74884,12982.95453,13845.78767,13230.23053,14054.45506,14757.12431,15306.50488,15789.4352,16843.12161,16173.32622,16367.7349,17458.88373,18718.37078,20269.69099,23180.40071,25613.5465,25690.68949,22435.3937,20611.44578,20347.86848,19598.02386,18797.62637,19039.0045,18911.30689,19920.26578,19840.28404,21535.33089,22460.01925,18942.38807
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17331.02529,17784.51196,18175.24943,19117.59946,20050.27639,20876.65666,21958.25505,22924.77481,24171.76719,25264.36436,26321.44645,27373.45972,28718.24108,29734.72088,31308.21052,32575.06925,34288.86369,36544.88598,37459.30765,40300.75555,39301.34112,41965.35842,42826.78958,45902.04795,46880.22066,46288.33448,47339.96921,48482.64746,50252.84046,52203.13229,52518.32448
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19425.40464,20567.11866,21241.15934,21679.4508,22587.18592,23639.81746,24500.22718,25417.84917,26673.94471,27606.48303,29388.77747,29715.64085,31178.69333,32111.12443,33745.84765,35013.71404,37611.80425,39382.79706,41316.22518,40948.22216,42041.48668,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54169.96399,57050.35135,58649.66831,55097.46123
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5360.070529,5417.78633,4224.438786,3275.423184,2650.261176,2359.216402,2409.193306,2567.987404,2829.595094,3055.925307,3442.631932,3836.599591,4233.440063,4716.377612,5245.425251,6850.813019,9387.109349,11957.39117,13200.94071,14248.89246,14926.63764,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14550.8204,15049.93856,14451.9837
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.071875,652.533198,659.8394615,621.0366237,599.5695133,555.3674366,514.0203604,509.3573907,534.023853,529.2830268,527.0808747,537.3594612,554.9448477,541.7639194,565.0427467,569.2749716,598.5075975,615.2295597,636.3320241,644.1051742,663.0544895,681.9716213,690.6878417,740.9832211,777.0412415,841.6460259,796.9440834,773.5728587,779.8081757,783.4519832,771.2096188
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18642.89392,19553.85806,20223.37968,20423.46243,21466.44544,22392.27232,22688.78553,23724.01023,24367.92397,25440.84119,27796.64607,28800.51705,30282.28865,30901.00319,32036.50123,33177.89095,35212.02356,36746.55137,37883.33194,37777.32783,39870.49487,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52662.53293,54709.4669,51968.19202
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259.574219,1312.126564,1334.477197,1396.084108,1405.71034,1472.635249,1516.000724,1581.941833,1614.627555,1675.244795,1759.720357,1837.805332,1894.998881,1936.880972,2015.637766,2052.528853,2135.26377,2258.492681,2347.924324,2353.632893,2364.119636,2416.327362,2498.495773,2669.68822,2833.412753,2886.829137,3004.807805,3044.517156,3236.670417,3426.329654,3505.635164
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.9523773,647.649794,646.3094835,666.2245261,670.8509388,704.4577306,774.6553081,814.7897207,859.7349553,910.5803534,921.9391767,976.1608793,1005.429991,1072.467136,1117.464831,1215.573258,1291.485796,1339.737649,1401.957727,1411.127528,1502.104047,1586.571161,1619.399426,1683.105833,1692.303242,1713.520136,1895.295066,2044.386987,2171.238997,2270.444019,2279.156173
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.5051369,888.9975278,937.5731878,983.4512625,1021.431089,1073.104366,1118.101126,1163.617277,1212.188224,1261.344618,1331.548429,1403.126219,1453.262257,1523.797478,1620.425053,1753.874608,1901.716701,2065.154773,2206.510371,2309.563637,2439.069627,2620.83379,2937.628798,3143.585503,3368.056164,3555.50526,3848.957664,4160.703325,4547.479572,4954.7614,5082.68075
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7532.984171,7200.998255,6903.217399,7017.927474,7322.923425,7724.25711,6831.994244,5748.419342,6177.42266,5807.813965,6424.755754,6961.972768,7786.417002,8408.356022,9193.83106,10291.45339,11392.87662,12795.84125,14335.66902,14191.57151,14879.26701,15667.30812,16247.49048,16588.93335,17561.38213,18343.11078,20019.59128,21387.27664,22911.29835,24579.21655,24367.32392
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26875.81347,30066.14512,31973.13522,36038.49712,35822.30112,37059.44948,38273.11907,39039.89723,40105.04114,40910.71738,42181.90604,42094.58142,41932.58355,42860.48222,44185.33854,45400.8527,46200.63586,47532.85916,47847.61525,46498.8434,46872.94778,47377.49831,50675.62102,51494.41172,51101.97702,45575.78357,44768.97091,47709.77802,47309.70955,46966.02627,43181.21063
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21496.81981,20904.45904,20174.80706,20331.41836,21047.98756,22083.64591,23124.0831,24844.2367,23725.13445,26685.3365,28034.24882,28956.94952,29715.75072,29363.17672,29869.46207,31261.8319,32401.68637,33117.66685,32373.55304,30728.87542,31090.63965,31522.07904,32216.6978,31873.01085,33154.72055,33424.24466,34154.98145,36298.448,37908.83814,38669.33501,32453.52957
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.1875134,1208.592358,2365.470126,3258.300204,3810.755345,4226.686002,4549.329624,4751.158603,5136.524329,5373.57235,6201.107913,6479.662707,7404.114907,8186.569183,9028.825887,9035.264239,9355.427227,9976.459713,10304.07913,11016.56043,11433.21593,12010.71236,13072.13223,13753.83205,14916.79438,15847.13404,15611.79131
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5232.078293,5341.485263,4928.1088,4650.988237,4199.440345,3854.031976,4047.990731,4606.719591,5073.961928,5344.658214,5808.357426,6248.211382,6709.845503,7367.193779,8489.484087,9642.429793,10994.76674,12317.4565,13885.74672,14050.88031,15349.22813,16543.04373,18071.5056,18948.46847,18955.90703,18041.2425,17725.75218,18280.19892,19338.66644,20098.59898,20199.69849
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3334.952297,3770.961802,4251.071289,4547.648835,4558.602997,4564.614495,4566.823851,4638.413986,4682.777985,4978.628101,5558.825717,5765.83491,5963.108434,6467.21445,6781.048239,6945.089529,7306.419544,7347.026654,7554.49405,7438.732242,7563.702662,7684.829862,7272.836587,7227.213563,7190.086108,7235.710178,7236.930959,7193.63431,7436.226422,7558.604656,6455.961753
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34909.18025,34994.08226,36030.24209,37790.41942,38560.45126,40807.84252,42364.10164,44802.77665,46729.51326,48734.22545,53983.1078,58516.59054,58183.95277,60886.12122,63560.14316,66207.25459,71580.62207,75534.9776,75121.64813,71040.17368,70620.08068,69998.84342,67453.82052,68993.22749,68775.44674,71873.22806,76362.05141,81834.95587,83377.06467,85263.763,
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2374.678958,2530.237262,2575.605361,2692.073797,2818.558744,2950.814982,3072.635339,3215.093039,3347.609941,3344.228541,3437.616424,3504.736376,3580.814331,3677.639972,3863.452017,4086.376104,4335.381713,4575.664232,4868.442636,4986.457909,5167.110312,5460.257058,5921.648907,6624.805923,7056.828365,7133.873145,7499.77274,8423.69756,8863.349174,9093.43166,8367.327159
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6701.208954,6909.921928,6915.312612,7287.075031,7712.671625,8090.89035,8288.179252,8582.067433,8575.873356,8611.90028,9060.786451,9260.766116,9568.063688,9733.770924,10445.34462,10988.95839,11642.44413,12549.92785,13312.76342,13269.11878,14299.55155,15040.05765,15046.29018,15588.72613,15718.56495,14744.11363,14256.16339,14524.61354,15020.43822,15388.23492,14836.3071
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9579.78616,9481.938572,9111.936587,9366.917573,9721.580356,10084.89136,10634.25131,11282.39942,11784.20407,11944.6357,12705.12287,12630.94304,12887.82622,13368.34994,13873.89609,14816.1173,16098.21053,16820.35328,17190.94622,16374.51507,16127.81138,16304.38242,15310.11393,15334.82825,15175.49564,15510.66121,15951.95868,15789.04116,16051.25581,16300.42221,13576.8018
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55915.16378,57946.13535,60345.96896,60248.94872,61767.66086,64188.55083,65587.84236,64190.16312,63099.24115,64532.51464,66439.13672,68349.93038,70717.779,72755.32113,73808.32138,75214.16712,79772.89055,81012.99009,80036.74599,78298.52299,80280.02445,83935.22572,88245.95835,83788.51089,81371.23087,62540.62522,56297.22671,60994.53156,61839.11757,64724.13239,65661.69393
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559.523468,1594.165973,1705.870245,1787.445373,1918.476933,2086.579365,2214.690396,2329.876527,2439.440968,2609.774832,2696.378391,2923.116464,3229.50883,3480.084171,3723.461728,4056.152552,4412.510058,5302.73422,5608.49446,5972.870569,6693.515913,7295.853328,7912.144645,7989.689179,8666.455725,9500.650716,10457.24438,11142.47467,11620.9159,12332.53949,11508.17418
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5682.072122,6124.065405,6270.378602,6375.622303,6583.544644,7022.211814,7388.871801,7953.386193,7897.090662,8597.69624,8784.194076,8830.942249,9347.851523,9791.025433,10144.50638,10733.22548,11742.50064,12780.63868,13552.63337,12366.55402,13352.28793,14252.68476,13590.51553,14707.59496,16300.82951,15547.16432,17260.45654,17253.6875,18058.06096,18528.58844,16920.84667
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.4374725,637.0086088,593.0389087,591.7456686,616.0240534,655.8885439,624.5962956,652.4358413,674.2820295,692.2036983,674.4408517,704.2225429,725.6148338,684.9559203,730.7469777,745.5732324,789.2096421,831.6089804,849.9410502,916.1877056,958.9211041,1012.657401,1102.027526,738.4748923,720.3241096,787.0129065,851.0726713,912.8030453,955.5137443,985.1120414,979.5830661
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25250.25848,26310.70443,27841.35335,29362.94525,30214.09251,30963.053,32333.48297,33911.04368,36327.22865,38106.35663,39555.50098,40376.30688,38893.72053,40114.18959,41666.70763,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48317.09658,50239.99105,50660.57779,48072.58376
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7086.793238,6641.118492,6682.397094,6950.509241,7389.260386,7974.530626,8378.731763,8700.29815,9093.746277,9393.398579,10015.50795,10798.82926,11625.2762,12322.17767,13463.25668,14302.13304,15889.63695,17726.50856,19660.99341,19701.27119,20802.03627,22181.44052,22962.77757,23954.04319,24969.92529,26121.96026,27858.05746,29878.7855,31905.94858,34103.29427,33711.85908
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28416.82325,28747.22261,29067.24293,29449.01808,30217.92993,30793.44594,31465.23156,32759.63422,33903.7546,34818.07604,36788.69429,37913.09105,38814.37174,38800.86511,40302.98604,41749.21645,46440.73998,51145.94117,54096.80786,53393.30336,54900.31435,57987.50203,59933.59868,62225.08727,64103.01045,66020.20434,68105.15498,69103.57026,71705.60997,73114.46836,71352.3526
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511.172098,4952.539608,5622.777742,6119.381459,6568.777966,7351.82983,8011.572773,8637.326621,8995.763222,8977.116842,9553.568491,9972.651669,10333.06096,10841.3259,11812.63413,12746.58969,15753.9601,16941.82983,16501.80988,16159.60715,18161.80924,20342.56148,21507.69257,22439.27325,22786.64277,22698.54566,23437.59253,24470.70362,24740.49615,25974.73164,25067.6916
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.5008703,1094.771431,1263.416318,1456.079469,1662.158759,1862.554122,2063.116926,2269.201401,2451.152804,2653.973626,2920.560791,3210.009396,3534.84913,3937.312875,4425.874191,5053.945798,5836.573437,6810.6039,7574.224455,8307.849519,9253.765188,10299.87069,11197.59694,11923.75262,12549.77183,12978.76891,13572.61999,14344.42124,15608.96707,16772.84317,17311.99792
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2053.967636,2049.113569,2017.25218,1989.756794,1979.552515,2094.279706,2224.55925,2275.399661,2343.417253,2348.930354,2291.442267,2289.125821,2236.329086,2199.900583,2239.755095,2300.122357,2354.291595,2406.777312,2460.247219,2501.728522,2522.365667,2404.042623,2626.068383,2828.401213,3127.480687,4652.889619,4726.98074,4830.750515,5154.331702,5432.992608,5458.236651
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855.409384,1790.706364,1723.39807,1578.254912,1600.545601,1644.930078,1701.699703,1774.152599,1826.594684,1882.776348,1941.697254,2017.011365,2079.759828,2156.690883,2302.116144,2357.048383,2444.75354,2562.263403,2629.885872,2634.677018,2681.887476,2773.896136,2855.446023,3002.610509,3185.355851,3260.523849,3405.056166,3554.521539,3690.068789,3796.307911,3772.744986
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.773089,805.6037995,709.285604,604.3059757,571.9623814,569.3272303,557.9704148,522.6318231,508.0735646,481.9072305,447.0821604,435.0764329,441.8202731,460.7701257,489.4200951,518.8403245,545.1513874,575.7490764,603.2879075,604.8441735,633.9131335,668.940881,669.5674426,753.4851681,849.7608186,905.4505994,963.6692722,1059.810762,1111.96579,1144.381029,1131.090607
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3474.992967,3578.983815,3654.130706,3602.866631,3381.931587,3490.746748,3603.001815,3538.744885,3606.214679,3462.03063,3699.228406,3813.747709,3938.432231,3929.600191,4052.513202,4363.250914,4695.68829,4350.752005,4555.98509,4959.396244,5349.829561,5428.241535,6335.785752,6069.000985,5931.133916,4639.744518,3818.355537,4241.858343,4027.866356,4005.310581,3638.555775
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5012.221341,5182.769951,5408.870682,5724.016711,6070.674652,6401.813731,6535.529513,6758.270569,6758.525749,6460.906827,6690.373751,6843.739037,7018.082018,7319.543212,7806.050509,8324.754688,9035.56564,9781.970408,10179.24484,10258.97084,10731.64591,11604.10228,12018.65128,12727.76493,13307.4245,13265.79726,13812.09606,14171.3205,14865.89324,15621.08737,14565.36805
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587.412495,1507.586935,1625.247312,1664.880038,1565.373235,1610.215915,1574.693333,1622.150804,1618.162059,1630.497034,1801.764134,1838.355456,1865.267165,1894.199957,1936.006798,2004.640868,2069.879744,2091.741984,2165.075425,2197.808664,2252.877706,2337.027619,2511.505979,2636.472976,2716.827525,2709.56254,2863.852044,3032.262133,3140.472044,3188.877441,3313.170467
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063.553866,1088.308382,1201.765333,1299.762893,1538.657871,1748.289952,1935.97062,2141.138621,2387.454161,2642.840077,3032.197183,3113.160977,3273.95009,3420.200633,3813.689197,4146.066953,4552.229421,5316.854983,5711.275917,5613.746558,5692.549105,5966.848,5818.903059,5792.919833,5748.096238,5994.407103,6322.913234,6643.179892,7028.993091,7475.12252,6377.025832
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5029.365723,5180.007876,5636.885028,6022.79253,6268.538881,6502.839081,6550.889818,6865.120406,7273.021984,7527.6479,7838.439917,8142.672035,8414.65775,8805.394974,9305.991884,9836.96227,10727.20328,11760.06552,12392.28568,12219.94049,12863.84951,13545.93177,14321.51837,15005.91936,16067.33077,17090.79658,19075.00447,20347.03477,20994.39576,21792.47588,21031.81754
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6149.446771,6441.592424,6736.591895,7060.512803,7351.358914,7656.653013,8006.936884,8398.314593,8564.742901,9034.513847,9508.188253,9863.562012,10332.62261,11121.49474,11829.28114,12551.58725,13782.87269,14557.19681,14971.47656,14472.92536,14763.33584,15147.38379,15109.94523,15355.54247,15466.53782,15197.49976,15138.05773,15746.556,16350.95174,16670.65674,15659.64595
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22701.96044,23897.75198,24342.34454,24358.34994,24637.58086,24932.89034,25445.7018,26251.05178,27005.29252,26890.91975,26884.27092,27224.40097,26175.4939,25921.15841,25379.2977,25090.20812,24808.40367,25475.48966,25656.45853,25530.20685,
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71406.65534,73399.68828,72406.34316,65886.32978,63298.17765,64014.74197,62795.90268,62440.00722,63067.41992,64233.53398,66639.55106,69753.08972,73507.56952,76747.66631,
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13316.12842,13513.86842,14724.10383,14816.32275,15697.49042,17054.83567,17276.94732,17774.43484,18757.97741,19662.70003,21297.77084,22871.7204,23556.31853,24254.79598,25923.23348,27763.22638,29975.32419,32841.71943,34830.12174,33909.73388,33449.08639,33313.47006,31834.72011,30375.11892,30080.30001,31815.13974,35719.06637,38050.85774,40476.38627,41514.51051,38458.19126
Czech Republic,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12772.94664,11699.20644,11893.04341,12169.70316,12786.56648,13825.94573,14653.62038,14819.49464,14977.116,15396.31178,16242.54319,17628.67715,18252.57277,19517.93567,20914.73323,22095.38785,23891.70474,26250.47641,27974.48713,27781.94467,27903.25872,29001.36804,29254.73127,30818.10816,32502.47535,33899.28657,36097.70526,38824.88792,41134.08988,43005.55334,41737.41804
